"MARKET","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AMEX","KLDX","Klondex Mines Ltd.","5.04","$733.38M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/kldx",
"AMEX","LTS","Ladenburg Thalmann Financial Services Inc","2.25","$412.58M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lts",
"AMEX","LTS^A","Ladenburg Thalmann Financial Services Inc","24.94","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lts^a",
"AMEX","LAQ","Latin America Equity Fund, Inc. (The)","21.7","$161.63M","1991","n/a","n/a","http://www.nasdaq.com/symbol/laq",
"AMEX","LGL","LGL Group, Inc. (The)","4.31","$11.49M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lgl",
"AMEX","LBY","Libbey, Inc.","17.47","$381.33M","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lby",
"AMEX","LIQT","LiqTech International, Inc.","0.808","$31.94M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt",
"AMEX","LEI","Lucas Energy, Inc.","2.57","$39.76M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lei",
"AMEX","MCZ","Mad Catz Interactive Inc","0.208","$15.28M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/mcz",
"AMEX","MAG","MAG Silver Corporation","14.05","$1.13B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mag",
"AMEX","MJCO","Majesco","4.99","$182.01M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mjco",
"AMEX","MSTX","Mast Therapeutics, Inc.","0.1","$21.18M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mstx",
"AMEX","MHH","Mastech Digital, Inc","7.8","$34.3M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/mhh",
"AMEX","MDGN","Medgenics, Inc.","5.58","$206.9M","2011","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/mdgn",
"AMEX","IPB","Merrill Lynch & Co., Inc.","27.6556","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/ipb",
"AMEX","MXC","Mexco Energy Corporation","3.8856","$7.92M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mxc",
"AMEX","CCA","MFS California Insured Municipal Trust","14.18","$39.51M","1999","n/a","n/a","http://www.nasdaq.com/symbol/cca",
"AMEX","MGT","MGT Capital Investments Inc","1.94","$50.16M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/mgt",
"AMEX","MLSS","Milestone Scientific, Inc.","1.98","$54.04M","2015","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/mlss",
"AMEX","MGH","Minco Gold Corporation","0.2561","$13M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mgh",
"AMEX","MVF","MuniVest Fund, Inc.","10.45","$670.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvf",
